Healthy, Infected, Recovered, Immune
82549,6767,10684,0
82485,6805,10710,0
82427,6834,10739,0
82363,6856,10781,0
82304,6865,10831,0
82242,6865,10893,0
82180,6854,10966,0
82115,6881,11004,0
82044,6902,11054,0
81984,6908,11108,0
81924,6911,11165,0
81867,6890,11243,0
81808,6909,11283,0
81754,6911,11335,0
81697,6928,11375,0
81637,6944,11419,0
81569,6962,11469,0
81506,6971,11523,0
81425,7013,11562,0
81359,7036,11605,0
81289,7049,11662,0
81219,7041,11740,0
81142,7062,11796,0
81076,7070,11854,0
81008,7091,11901,0
80932,7126,11942,0
80884,7120,11996,0
80813,7144,12043,0
80742,7149,12109,0
80674,7141,12185,0
80610,7132,12258,0
80547,7157,12296,0
80491,7159,12350,0
80425,7171,12404,0
80369,7184,12447,0
80310,7176,12514,0
80243,7192,12565,0
80180,7212,12608,0
80107,7232,12661,0
80035,7228,12737,0
79960,7256,12784,0
79902,7249,12849,0
79824,7272,12904,0
79764,7283,12953,0
79700,7297,13003,0
79638,7311,13051,0
79568,7306,13126,0
79501,7302,13197,0
79440,7305,13255,0
79366,7319,13315,0
79282,7351,13367,0
79193,7403,13404,0
79108,7427,13465,0
79050,7423,13527,0
79002,7394,13604,0
78953,7382,13665,0
78891,7376,13733,0
78839,7351,13810,0
78786,7330,13884,0
78721,7326,13953,0
78653,7352,13995,0
78582,7388,14030,0
78517,7408,14075,0
78450,7423,14127,0
78380,7433,14187,0
78324,7423,14253,0
78256,7423,14321,0
78199,7437,14364,0
78141,7448,14411,0
78078,7453,14469,0
78018,7457,14525,0
77959,7457,14584,0
77902,7478,14620,0
77834,7499,14667,0
77779,7501,14720,0
77727,7472,14801,0
77668,7457,14875,0
77596,7453,14951,0
77514,7496,14990,0
77459,7499,15042,0
77406,7495,15099,0
77327,7513,15160,0
77263,7515,15222,0
77186,7511,15303,0
77096,7519,15385,0
77010,7529,15461,0
76942,7555,15503,0
76876,7567,15557,0
76810,7593,15597,0
76747,7594,15659,0
76684,7608,15708,0
76625,7606,15769,0
76566,7624,15810,0
76503,7621,15876,0
76464,7598,15938,0
76414,7578,16008,0
76348,7582,16070,0
76307,7571,16122,0
76240,7597,16163,0
76184,7594,16222,0
76121,7588,16291,0
76070,7577,16353,0
76016,7588,16396,0
75976,7580,16444,0
75898,7615,16487,0
75829,7623,16548,0
75769,7632,16599,0
75701,7632,16667,0
75638,7627,16735,0
75563,7637,16800,0
75512,7627,16861,0
75482,7272,17246,0
75415,7269,17316,0
75331,7291,17378,0
75258,7310,17432,0
75189,7332,17479,0
75129,7359,17512,0
75073,7387,17540,0
75007,7403,17590,0
74952,7401,17647,0
74887,7415,17698,0
74820,7427,17753,0
74747,7446,17807,0
74662,7472,17866,0
74573,7502,17925,0
74510,7468,18022,0
74441,7483,18076,0
74393,7473,18134,0
74332,7484,18184,0
74278,7476,18246,0
74198,7505,18297,0
74130,7501,18369,0
74058,7505,18437,0
73987,7506,18507,0
73920,7524,18556,0
73869,7523,18608,0
73806,7536,18658,0
73757,7536,18707,0
73698,7530,18772,0
73634,7536,18830,0
73564,7555,18881,0
73496,7573,18931,0
73428,7590,18982,0
73353,7611,19036,0
73288,7607,19105,0
73216,7629,19155,0
73134,7644,19222,0
73055,7658,19287,0
72994,7661,19345,0
72935,7660,19405,0
72860,7683,19457,0
72788,7686,19526,0
72719,7678,19603,0
72638,7722,19640,0
72573,7734,19693,0
72519,7736,19745,0
72455,7741,19804,0
72401,7731,19868,0
72328,7735,19937,0
72259,7723,20018,0
72185,7740,20075,0
72124,7730,20146,0
72064,7742,20194,0
72001,7755,20244,0
71939,7770,20291,0
71874,7801,20325,0
71798,7835,20367,0
71740,7844,20416,0
71673,7855,20472,0
71611,7849,20540,0
71559,7828,20613,0
71503,7805,20692,0
71447,7812,20741,0
71400,7801,20799,0
71342,7794,20864,0
71283,7806,20911,0
71240,7772,20988,0
71167,7786,21047,0
71104,7801,21095,0
71049,7803,21148,0
70989,7812,21199,0
70938,7799,21263,0
70880,7792,21328,0
70825,7784,21391,0
70761,7809,21430,0
70703,7825,21472,0
70658,7814,21528,0
70616,7803,21581,0
70572,7779,21649,0
70500,7780,21720,0
70447,7767,21786,0
70396,7767,21837,0
70349,7750,21901,0
70285,7760,21955,0
70241,7741,22018,0
70180,7715,22105,0
70124,7704,22172,0
70057,7708,22235,0
70012,7702,22286,0
69956,7707,22337,0
69893,7703,22404,0
69821,7707,22472,0
69750,7731,22519,0
69711,7718,22571,0
69662,7731,22607,0
69606,7747,22647,0
69546,7761,22693,0
69488,7772,22740,0
69438,7751,22811,0
69375,7763,22862,0
69318,7771,22911,0
69263,7771,22966,0
69205,7788,23007,0
69160,7790,23050,0
69111,7791,23098,0
69065,7778,23157,0
69019,7756,23225,0
68965,7765,23270,0
68898,7781,23321,0
68825,7803,23372,0
68759,7810,23431,0
68698,7811,23491,0
68636,7856,23508,0
68574,7913,23513,0
68517,7980,23503,0
68453,8053,23494,0
68378,8135,23487,0
68327,8200,23473,0
68269,8237,23494,0
68211,8260,23529,0
68142,8279,23579,0
68058,8285,23657,0
68004,8266,23730,0
67934,8266,23800,0
67872,8272,23856,0
67816,8277,23907,0
67773,8269,23958,0
67707,8274,24019,0
67640,8296,24064,0
67575,8291,24134,0
67509,8292,24199,0
67454,8253,24293,0
67383,8257,24360,0
67316,8273,24411,0
67248,8294,24458,0
67191,8275,24534,0
67119,8294,24587,0
67054,8285,24661,0
67001,8275,24724,0
66930,8291,24779,0
66873,8292,24835,0
66828,8280,24892,0
66775,8279,24946,0
66733,8261,25006,0
66675,8266,25059,0
66633,8257,25110,0
66583,8266,25151,0
66511,8279,25210,0
66443,8282,25275,0
66405,8282,25313,0
66355,8252,25393,0
66296,8255,25449,0
66237,8262,25501,0
66183,8250,25567,0
66122,8212,25666,0
66052,8206,25742,0
66010,8188,25802,0
65949,8197,25854,0
65891,8162,25947,0
65826,8181,25993,0
65745,8198,26057,0
65698,8186,26116,0
65633,8185,26182,0
65584,8172,26244,0
65536,8171,26293,0
65481,8170,26349,0
65407,8174,26419,0
65356,8154,26490,0
65298,8150,26552,0
65262,8135,26603,0
65200,8136,26664,0
65148,8149,26703,0
65101,8124,26775,0
65039,8133,26828,0
64980,8113,26907,0
64925,8112,26963,0
64863,8122,27015,0
64807,8136,27057,0
64740,8161,27099,0
64677,8180,27143,0
64634,8169,27197,0
64581,8177,27242,0
64519,8191,27290,0
64458,8212,27330,0
64386,8237,27377,0
64331,8238,27431,0
64287,8229,27484,0
64238,8225,27537,0
64179,8249,27572,0
64124,8260,27616,0
64066,8270,27664,0
63999,8288,27713,0
63962,8266,27772,0
63934,8272,27794,0
63876,8291,27833,0
63807,8319,27874,0
63753,8325,27922,0
63708,8341,27951,0
63672,8327,28001,0
63624,8316,28060,0
63585,8311,28104,0
63537,8317,28146,0
63482,8330,28188,0
63424,8337,28239,0
63373,8333,28294,0
63321,8339,28340,0
63285,8323,28392,0
63232,8306,28462,0
63180,8300,28520,0
63129,8298,28573,0
63069,8309,28622,0
